"as.character.lapply.tree.tip.label..function.x..str_replace.x.."
"Gymnoris dentata"
"Passer diffusus"
"Plectrophenax nivalis"
"Zeledonia coronata"
"Setophaga tigrina"
"Icterus icterus"
"Agelasticus thilius"
"Chlorospingus pileatus"
"Emberiza buchanani"
"Granatellus pelzelni"
"Passerina cyanea"
"Diglossa glauca"
"Rhopospina fruticeti"
"Crithagra striolata"
"Euphonia pectoralis"
"Anthus bogotensis"
"Vidua chalybeata"
"Hypargos niveoguttatus"
"Ploceus velatus"
"Peucedramus taeniatus"
"Prunella atrogularis"
"Irena cyanogastra"
"Chloropsis cyanopogon"
"Dicaeum erythrorhynchos"
"Cinnyris bifasciatus"
"Hedydipna collaris"
"Oenanthe scotocerca"
"Myadestes occidentalis"
"Lamprotornis splendidus"
"Sitta carolinensis"
"Campylorhynchus rufinucha"
"Henicorhina negreti"
"Polioptila bilineata"
"Certhia brachydactyla"
"Sylvietta virens"
"Melocichla mentalis"
"Bradypterus sylvaticus"
"Iduna similis"
"Riparia riparia"
"Cecropis semirufa"
"Phylloscopus pulcher"
"Abroscopus superciliaris"
"Hypsipetes amaurotis"
"Neomixis striatigula"
"Curruca nana"
"Fulvetta vinipectus"
"Pellorneum celebense"
"Napothera malacoptila"
"Heterophasia pulchella"
"Cyanoderma erythropterum"
"Zosterops virens"
"Pnoepyga albiventer"
"Melanocorypha bimaculata"
"Baeolophus atricristatus"
"Poecile sclateri"
"Stenostira scita"
"Petroica macrocephala"
"Petroica phoenicea"
"Pachycephala simplex"
"Colluricincla rufogaster"
"Oriolus xanthonotus"
"Vireo carmioli"
"Vireo modestus"
"Dicrurus aeneus"
"Cissa hypoleuca"
"Corvinella corvina"
"Lanius somalicus"
"Rhipidura aureola"
"Rhipidura albicollis"
"Ptiloris magnificus"
"Terpsiphone rufiventer"
"Psophodes olivaceus"
"Lalage tricolor"
"Lalage melanoptera"
"Gymnorhina tibicen"
"Machaerirhynchus flaviventer"
"Laniarius atrococcineus"
"Mystacornis crossleyi"
"Batis molitor"
"Orthonyx temminckii"
"Aethomyias papuensis"
"Gliciphila melanops"
"Malurus cyaneus"
"Ptilonorhynchus violaceus"
"Atrichornis rufescens"
"Grallaricula nana"
"Scytalopus parkeri"
"Scytalopus latebricola"
"Formicarius rufipectus"
"Sclerurus albigularis"
"Melanopareia maximiliani"
"Thamnophilus bridgesi"
"Laniocera hypopyrra"
"Tityra semifasciata"
"Hemitriccus furcatus"
"Rupicola peruvianus"
"Pseudopipra pipra"
"Manacus candei"
"Eurylaimus ochromalus"
"Pitta maxima"
