"","X","gen","family","species","sub_species","common_name","recordist","date","time","country","location","lat","lng","bird","file_name","weights","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","gmm_cluster","gmm_prob_0","gmm_prob_1","gmm_prob_2","gmm_prob_3","gmm_prob_4","gmm_prob_5","gmm_prob_6","gmm_prob_7"
"246",246,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","sanguinolentus","Andean Cock-of-the-rock","Niels Krabbe","2016-11-20","06:15","Ecuador","Imbabura: Hda La Florida",0.364,-78.482,343734,"Rupicola_peruvianus_343734_seg8.wav",0.03125,202.6128,-7.0950856,17.424744,11.977252,9.999854,14.918787,-4.7512937,-4.612866,-8.103129,2.393875,3.1979375,2.24268,0.5886585,1.3923028,-7.011271,2.3268967,-1.729315,3.0505893,2.835325,2.1213331,2.8736107,0.5015512,-0.6880886,1.3030983,2.2794962,0.30009776,0.18652272,-0.8957082,0.8370778,-0.33141822,-1.2598809,-1.0198721,-0.14464635,1.0149937,0.8558345,0.77082443,0.03186035,3,1.3619648459053e-11,0.000621703758466485,1.52334571732608e-08,0.999378269113078,3.67346035377335e-09,2.2592510057232e-12,1.38392086014025e-09,6.82173781459976e-09
"247",247,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","sanguinolentus","Andean Cock-of-the-rock","Niels Krabbe","2016-11-20","06:15","Ecuador","Imbabura: Hda La Florida",0.364,-78.482,343734,"Rupicola_peruvianus_343734_seg9.wav",0.03125,204.00494,-14.982094,19.664148,10.790075,6.6744866,16.309742,-3.4360735,-3.2516084,-3.9774714,5.3781867,0.99327236,2.594582,0.08286291,0.84545875,-8.725384,-0.6953618,-6.190236,-2.4389422,4.6121907,0.2036295,4.3861127,0.18780196,-0.30861828,0.36341554,2.2383187,-4.0053053,-1.1588773,-0.5569069,0.15905681,-0.46382928,0.2333165,-0.13912424,-0.18034637,0.7471132,-0.89945745,1.320385,-0.66469926,1,6.22944341568067e-07,0.913661686152357,1.22394638278517e-05,0.0855396789667029,2.50296405208441e-05,2.66890132359661e-08,1.95470753699431e-08,0.000760696596158333
"248",248,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","","Andean Cock-of-the-rock","Mauricio Cuellar Ramirez (@Birding.travel)","2020-02-08","07:00","Colombia","Florencia, Caquetá",1.7135,-75.7326,542499,"Rupicola_peruvianus_542499_seg1.wav",0.03125,222.25024,-23.090858,-0.06954005,8.025834,10.019884,13.442454,-6.606347,-3.725376,-3.352365,-4.798435,0.103376195,1.4209651,0.8917229,6.2518125,-5.295164,2.5572448,-1.6686441,4.689763,0.81587565,1.1940658,4.3225045,2.7728453,1.4439665,3.5020728,0.5237967,-2.209144,-1.7875681,-2.0627003,2.1440582,-0.6415495,3.161314,-2.336586,-1.6953398,0.7064686,-0.50961447,0.2745018,0.26260978,3,1.030929839967e-15,4.42118767761845e-06,2.41645850476326e-08,0.99999319346517,1.2486886313577e-06,7.40781142256116e-11,3.80334662753515e-13,1.11241947626862e-06
"249",249,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","aequatorialis","Andean Cock-of-the-rock","John V. Moore","1996-11-00","?","Ecuador","Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,259086,"Rupicola_peruvianus_259086_seg9.wav",0.03125,255.1551,-41.404617,-4.0059376,-3.7179909,7.4124446,12.86768,-1.8409582,1.8932331,1.4280288,6.4140596,-0.064642265,3.667062,-0.7612894,-3.9775817,-21.760359,12.300503,-5.3370047,-2.1152728,-0.8171213,5.3862166,0.68084174,2.9254205,0.85806364,-0.6225617,-1.760476,2.3955228,-2.952909,3.1047032,3.0788467,2.622044,1.8616267,-0.7172292,0.2901026,1.1781616,-2.6197996,0.12374115,-1.1825693,7,2.41457535539589e-13,1.59240016179399e-17,6.21183878240198e-15,1.21290404759943e-36,5.90976484664476e-07,2.50062127582486e-08,3.23494845362599e-17,0.999999384017057
"250",250,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","aequatorialis","Andean Cock-of-the-rock","John V. Moore","1996-11-00","?","Ecuador","Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,259086,"Rupicola_peruvianus_259086_seg8.wav",0.03125,223.9656,-26.729366,-2.048786,1.4741982,7.7253594,12.191157,-0.82702565,-6.6912303,-3.5841377,-3.7109845,1.9715337,0.51833576,-1.9874008,-0.8963248,-15.052513,7.761785,-1.9759642,1.3393233,-5.2140117,2.6941578,-2.0804234,5.431078,2.1648138,0.6230214,1.8827485,-1.1197128,-0.019414775,1.4362977,0.049658686,0.5190991,3.200051,-3.307984,-3.36661,4.4207783,-1.2955709,-0.9191704,-1.8985537,7,2.41999512202488e-10,3.39988674057763e-13,5.69438951769383e-07,9.54173835333326e-13,0.0023272140627379,3.27715528750428e-07,2.18153393104371e-10,0.997671888321334
"251",251,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","","Andean Cock-of-the-rock","Alex Lin-Moore","2023-06-08","06:30","Ecuador","Nanegalito (near  Tandayapa), Distrito Metropolitano de Quito, Pichincha",0.0199,-78.7072,808973,"Rupicola_peruvianus_808973_seg2.wav",0.03125,218.25662,-14.679079,11.0419,6.109726,11.281045,15.242062,-4.996171,-5.8512387,-14.146713,3.6592495,-0.6994948,2.283094,4.5114565,4.0451393,-5.0865717,-3.7776694,-1.1520876,0.22717196,4.119901,2.5476148,1.1806657,1.1190529,-0.16591877,-0.45164487,1.7693304,-1.6546472,-1.6902394,-2.7057235,-1.081577,0.7032467,0.9796354,0.504125,0.61426514,0.7414284,1.0441432,1.6870232,-2.0593653,3,5.76097815298926e-09,0.0118438864503043,2.99028027777005e-09,0.988156095585325,7.8000614813199e-09,2.62368233656418e-13,8.89857248705947e-16,1.41278866340509e-09
"252",252,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","","Andean Cock-of-the-rock","A Edwar H Guarín","2021-11-13","04:30","Colombia","Parque Natural Jardín de Rocas (near  Jardín), Jardín, Antioquia",5.5963,-75.8214,689221,"Rupicola_peruvianus_689221_seg9.wav",0.03125,221.01506,-6.158856,7.59912,1.4564404,12.458,10.69027,-0.56548756,-3.7578835,-5.867112,3.0947394,-0.97621715,4.0184574,2.752298,2.3907523,-6.6211514,1.0644411,0.5361471,-0.26358092,0.39226678,-0.27054608,-0.34174162,1.3603616,-1.1063308,2.4861152,0.083277166,-1.4881818,-0.9906084,-1.2269181,1.7980028,-0.041422386,3.197692,1.6912501,-2.0761297,-1.3964577,-1.7254314,0.2446518,-0.12660164,3,3.66803547513238e-11,0.0057309417044945,9.38462398983801e-08,0.994268826770767,1.35871266224157e-08,1.09849522370291e-10,7.45929383794467e-08,4.93519045431986e-08
"253",253,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","","Andean Cock-of-the-rock","A Edwar H Guarín","2021-11-13","04:30","Colombia","Parque Natural Jardín de Rocas (near  Jardín), Jardín, Antioquia",5.5963,-75.8214,689221,"Rupicola_peruvianus_689221_seg8.wav",0.03125,222.48627,-3.6317708,21.826385,8.868984,9.222366,8.218394,-0.70435756,0.42424488,-5.7768917,3.6803362,3.0455616,5.0310116,-2.0489957,3.0942729,-2.6225197,-2.6378353,-2.209805,-2.6909616,3.0731523,-0.2531946,2.6150804,-2.030391,1.4119843,0.5420339,1.6453087,0.33050808,-1.6000544,0.5562066,-2.2512584,2.2104104,0.6747462,1.1897329,-1.0009251,-1.0058918,-1.1196451,0.68224716,-1.6414628,1,4.55868230021542e-08,0.530877065994481,8.5255387458913e-08,0.469115466082867,3.67894227516239e-08,1.20652495159156e-08,7.18245373713399e-06,1.05772032536773e-07
"254",254,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","","Andean Cock-of-the-rock","A Edwar H Guarín","2021-11-13","04:30","Colombia","Parque Natural Jardín de Rocas (near  Jardín), Jardín, Antioquia",5.5963,-75.8214,689221,"Rupicola_peruvianus_689221_seg5.wav",0.03125,232.21257,-15.9264345,4.361772,3.5407548,10.796467,10.468188,-1.6349359,-2.9731426,-10.339658,6.3583126,4.3989115,3.1310148,0.3546771,2.6306024,-5.897404,-1.3388547,0.44981754,2.7338247,-0.09725256,-0.8676913,0.34016606,0.63560313,0.43516195,1.268332,2.2326272,-1.5806693,-0.69237804,-0.5988503,-0.42187744,0.027907275,0.30680582,-1.3007011,0.02993381,-1.3531075,0.6128645,0.6338177,-0.18268076,3,4.21258963437493e-11,0.000751263113637928,7.18645860565421e-10,0.999248730727932,1.27640909041893e-09,1.69497322452027e-11,2.38671181787753e-09,1.71758718907867e-09
"255",255,"Rupicola","Cotingidae (Cotingas)","Rupicola_peruvianus","aequatorialis","Andean Cock-of-the-rock","John V. Moore","1996-11-00","?","Ecuador","Napo: 'Cabañas San Isidro', 1-2 km SW Cosanga",-0.589,-77.877,259086,"Rupicola_peruvianus_259086_seg3.wav",0.03125,242.64302,-37.58644,-1.628615,0.5012017,18.877058,11.858976,-0.8120164,0.40070665,2.9498267,2.043534,4.435911,-0.22587979,-0.1405787,1.9709319,-14.892851,10.076437,3.1622262,5.311825,-0.2980317,-2.1107988,-2.566628,-1.2238982,-1.5871885,3.2030478,-2.0831828,0.6745769,-2.4072227,0.13241433,0.65192634,-2.4789486,-1.0207455,-1.764235,1.2849185,5.812623,-2.08562,-0.53512,-0.04774028,7,4.05016660444697e-16,5.76655616807419e-15,1.28188277886312e-09,2.44250152029056e-15,0.000155692116010109,3.6322083388237e-06,5.60064977345142e-05,0.999784667896026
