"","gen","family","species","sub_species","common_name","recordist","date","time","country","location","lat","lng","bird","file_name","weights","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","gmm_cluster","gmm_prob_0","gmm_prob_1","gmm_prob_2","gmm_prob_3","gmm_prob_4","gmm_prob_5","gmm_prob_6","gmm_prob_7","oscine_group"
"571","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","John V. Moore","1992-08-00","?","Ecuador","Pichincha: Pasochoa",-0.459,-78.511,258651,"Acropternis_orthonyx_258651_seg10.wav",0.008130081300813,263.91745,-15.143745,13.971065,-24.59944,-3.905256,15.205467,15.28465,-6.231391,-2.939044,3.5594826,-0.16521129,9.064632,3.3332694,6.9669104,1.0147487,0.05473277,-1.8487017,-0.5406675,-2.652668,-3.7786715,-1.0798701,-2.0768554,-1.7693422,-0.51501787,2.7071981,-1.5245,-4.751172,-1.7852697,-0.018074933,-5.428592,1.9169894,-2.1868453,1.356333,1.1774769,-0.78804684,-2.3422222,-0.7455542,1,2.32801464480488e-05,0.999608864478608,3.43487335844421e-16,2.01033948762262e-25,3.56070626196983e-10,0.000367819841387297,2.22321988373832e-13,3.51772608056762e-08,"Non-Oscines"
"572","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","Mitch Lysinger","1997-01-10","?","Ecuador","Napo: upper Cordillera de los Huacamayos",-0.623,-77.839,260851,"Acropternis_orthonyx_260851_seg5.wav",0.008130081300813,300.56543,-49.716225,3.479521,-22.022663,7.9005036,7.4706893,16.42906,-13.1073475,3.5855505,11.686877,-16.58629,7.961581,-14.061265,5.9935317,-0.030088112,0.6091006,0.24911198,-6.681467,-4.462121,-3.667967,-1.082166,-5.048379,-6.1238875,-2.8103774,-1.970231,-2.0281258,5.070756,-4.855858,3.933773,2.5160923,-1.5685629,4.693308,1.7168045,-1.2895126,2.5937843,-0.5130005,-2.116693,5,0.0178931838766668,0.00714958944165947,4.61672575006259e-35,6.19050271677041e-71,2.29082962858336e-14,0.974957226619241,2.90695175839655e-30,6.2409941871803e-11,"Non-Oscines"
"573","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","Brian Cox","2002-11-24","00:00","Ecuador","Tandayapa Bird Lodge, Pichincha",-0.0101,-78.6776,731668,"Acropternis_orthonyx_731668_seg2.wav",0.008130081300813,263.57318,-14.467556,17.34982,-18.116703,1.3179792,7.494704,14.667519,-10.198087,2.2732651,5.2397738,-9.410538,6.4639525,0.18373731,5.901764,-0.73061943,-2.9617572,-6.3857446,-3.5673776,-6.1016245,1.4138322,0.87682366,3.3654833,-3.3131878,0.48920503,-4.3236156,-4.6358314,3.7176566,-2.7952256,5.5148506,3.158548,1.8915133,0.18094616,-1.5618162,-5.2355614,1.0713549,0.67751503,2.5625064,1,0.0230830254530985,0.967439483252774,7.02175066350708e-21,6.92372264689581e-40,7.07312659599565e-10,0.00947745433279725,1.3149032907727e-20,3.62540156525964e-08,"Non-Oscines"
"574","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","","Ocellated Tapaculo","Bram Vogels","2019-11-16","00:00","Ecuador","Yangana (Arsenio Castillo), Loja, Loja",-4.3851,-79.1244,511701,"Acropternis_orthonyx_511701_seg1.wav",0.008130081300813,308.16513,-41.894024,9.577012,-23.390944,-4.2559795,-0.09412345,12.299809,6.9247894,0.7612381,5.930832,-16.971079,5.6116843,1.0957955,-7.0940905,-9.766762,-5.1091967,-0.033911105,2.0276637,-9.170019,6.764179,3.793668,4.1455975,-0.5013214,-1.149781,0.28023434,-5.9829955,-2.6710887,5.215149,-2.161909,-0.32070684,0.06185837,-5.592541,6.1516695,-1.1973896,4.0314207,4.4595947,-3.3809295,5,0.0853204183629054,9.29514629075169e-09,2.70230755037911e-29,2.03781830240453e-66,3.9384109967308e-12,0.914679367702049,3.39682220527285e-35,2.04635959901037e-07,"Non-Oscines"
"575","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","","Ocellated Tapaculo","David Edwards","2012-01-00","16:00","Colombia","Alto de Ventanas",5.5374,-75.8029,119694,"Acropternis_orthonyx_119694_seg14.wav",0.008130081300813,292.47006,-20.798555,20.409395,-24.907803,0.120633624,6.70777,13.752539,-3.5534253,-0.9598863,-1.4592497,-15.179006,9.417397,-6.2971506,8.957591,-0.20278186,-6.44693,-4.837884,3.019626,-9.03853,2.3489764,2.2506442,6.2904553,-4.8631663,-9.416459,4.3605924,-4.862224,4.4427953,-3.5156174,0.69365984,-3.9968798,4.239051,2.3657687,3.0767496,-0.5357342,7.0104237,3.787796,6.3831863,5,0.0157943425631371,2.0452324411534e-06,4.62870669249138e-32,7.97094190139336e-69,4.5603596456018e-14,0.984203611997075,1.71460055855784e-30,2.07303573191375e-10,"Non-Oscines"
"576","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","","Ocellated Tapaculo","David Edwards","2012-01-00","16:00","Colombia","Alto de Ventanas",5.5374,-75.8029,119694,"Acropternis_orthonyx_119694_seg15.wav",0.008130081300813,278.18607,-19.86815,22.056156,-22.59223,0.5401354,8.101958,12.274336,-3.3672173,2.4890501,-0.118913814,-13.625437,14.100098,-2.3232775,1.5259798,-0.764478,-1.3733662,-2.4274778,1.1237856,-11.826373,1.90126,0.15142864,2.4000418,-3.0087235,-2.9786391,4.686683,-1.3029262,-0.30292124,-3.1734192,-1.051007,-0.09787518,2.672541,0.13570702,1.2657846,0.7000103,2.9719663,2.9858532,2.4255722,5,0.0149919128621321,0.472982421234625,7.46491963315491e-25,1.19362412583235e-45,1.73234037536368e-12,0.512025622268446,1.8382409613603e-20,4.36330626622662e-08,"Non-Oscines"
"577","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","Brian Cox","2002-11-24","00:00","Ecuador","Tandayapa Bird Lodge, Pichincha",-0.0101,-78.6776,731668,"Acropternis_orthonyx_731668_seg3.wav",0.008130081300813,270.35254,-17.03101,12.997322,-19.54763,9.8921175,10.902087,21.69805,-12.010987,-0.0733668,5.2710285,-7.243361,6.1452503,-3.3210719,2.7238703,-1.2590171,-2.063314,-5.6166644,-1.5610185,-4.0578713,1.5483606,3.1116788,2.9687517,-3.0294673,-0.30593872,-0.50562185,-1.279028,-3.4580088,-3.6397486,1.106324,3.2586534,5.976804,-0.4215412,1.9143859,-3.3361492,2.392592,0.8783665,-0.52941746,1,0.000181401314428041,0.996447479775792,9.4170170176086e-23,1.85330286391237e-33,3.04782046319618e-11,0.00337110926180984,4.12992652569619e-22,9.61749011971237e-09,"Non-Oscines"
"578","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","orthonyx","Ocellated Tapaculo","Hans Matheve","2009-02-02","?","Venezuela","La Grita, Chorro El Indio National Park, Jauregui, Táchira",8.1565,-71.9073,202450,"Acropternis_orthonyx_202450_seg13.wav",0.008130081300813,282.194,-36.07827,5.6404014,-12.184215,5.558417,7.967554,4.325552,-11.570498,-1.9870785,7.785037,-6.2643995,7.085182,5.242696,5.796761,-8.339823,1.8561996,0.97903115,-2.1050024,-3.5455437,3.1026552,0.5929777,1.8127897,-1.9152573,13.031288,-2.366547,-3.0922847,6.3006344,-6.6826215,-5.143173,-0.83198875,0.21039072,0.51801574,4.1387143,0.64925003,2.071198,4.2915745,0.78071123,0,0.529447323750621,0.00437074881546471,2.24922549819287e-14,2.66193290242944e-28,0.0039479901466009,0.460330289118108,1.39942386653608e-15,0.00190364816918065,"Non-Oscines"
"579","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","Mitch Lysinger","1997-01-10","?","Ecuador","Napo: upper Cordillera de los Huacamayos",-0.623,-77.839,260851,"Acropternis_orthonyx_260851_seg4.wav",0.008130081300813,299.37115,-43.53409,4.718957,-30.218918,15.72198,2.4581943,23.182537,-12.269184,2.0568569,8.696617,-17.925817,11.330186,-9.225196,-0.3955031,-0.23771484,-0.89562345,-7.5515285,-0.20353183,-2.3698263,-2.0771759,-0.10122449,3.0110648,-4.3855577,0.5052704,-5.072755,-4.8432674,5.1981344,-6.9408875,4.5882883,0.97468317,1.2040819,-1.5211445,3.168539,-0.65158653,-2.826476,7.4011707,-0.27269626,5,0.0124438698355935,4.76791792079709e-05,4.29842503754196e-38,3.09991002634532e-75,1.79199401274622e-17,0.987508450981823,2.66970839865067e-37,3.37465060087759e-12,"Non-Oscines"
"580","Acropternis","Rhinocryptidae (Tapaculos)","Acropternis_orthonyx","infuscatus","Ocellated Tapaculo","John V. Moore","1992-08-00","?","Ecuador","Pichincha: Pasochoa",-0.459,-78.511,258651,"Acropternis_orthonyx_258651_seg11.wav",0.008130081300813,261.8804,-16.540892,17.128271,-24.680828,-3.9832363,17.427801,10.116196,-8.863594,0.75352496,-2.825666,-0.11532478,9.78532,1.5563242,3.0784452,5.019751,-2.357946,-5.1307893,2.5515842,-2.5427105,0.15493442,-4.4563556,2.80686,-5.5366526,-1.6477393,-0.87888974,-0.5507559,-1.7502097,-1.3635933,-0.41697273,-2.9765856,2.3892553,-1.0626857,-1.1474167,1.5185394,2.445859,1.505436,0.32802242,1,2.44454014924494e-05,0.999824767149761,3.07660081398245e-16,3.5859916960941e-27,1.16199753640983e-10,0.000150731547596834,5.31346418499433e-13,5.57844183371452e-08,"Non-Oscines"
