Iteration	Posterior	Likelihood	Prior	rho[1][2]
0	-19910.26	0	-19910.26	-0.2283667
500	-1688.78	0	-1688.78	-0.3166201
1000	-1397.975	0	-1397.975	-0.09796089
1500	-1372.226	0	-1372.226	0.0463377
2000	-1357.784	0	-1357.784	0.02357817
2500	-1273.304	0	-1273.304	0.04549515
3000	-1247.177	0	-1247.177	0.06011908
3500	-1243.089	0	-1243.089	0.1100461
4000	-1233.841	0	-1233.841	0.4631768
4500	-1229.855	0	-1229.855	0.3291809
5000	-1244.607	0	-1244.607	0.5339725
5500	-1233.043	0	-1233.043	0.5304487
6000	-1205.076	0	-1205.076	0.5155979
6500	-1262.288	0	-1262.288	0.4540197
7000	-1211.548	0	-1211.548	0.6568489
7500	-1219.565	0	-1219.565	0.6450921
8000	-1250.792	0	-1250.792	0.6433018
8500	-1245.997	0	-1245.997	0.6645745
9000	-1316.824	0	-1316.824	0.4980814
9500	-1230.902	0	-1230.902	0.6124404
10000	-1272.767	0	-1272.767	0.5969436
10500	-1233.876	0	-1233.876	0.7055438
11000	-1172.672	0	-1172.672	0.7512974
11500	-1164.007	0	-1164.007	0.7995502
12000	-1157.338	0	-1157.338	0.7999543
12500	-1129.603	0	-1129.603	0.7943336
13000	-1111.142	0	-1111.142	0.7678103
13500	-1125.284	0	-1125.284	0.8103801
14000	-1107.958	0	-1107.958	0.7859232
14500	-1131.495	0	-1131.495	0.7575231
15000	-1192.714	0	-1192.714	0.55742
15500	-1186.817	0	-1186.817	0.6333312
16000	-1218.837	0	-1218.837	0.5605924
16500	-1186.263	0	-1186.263	0.5731686
17000	-1216.814	0	-1216.814	0.5253883
17500	-1175.131	0	-1175.131	0.7283045
18000	-1144.735	0	-1144.735	0.6476708
18500	-1100.203	0	-1100.203	0.6224657
19000	-1093.598	0	-1093.598	0.6501965
19500	-1090.616	0	-1090.616	0.7533711
20000	-1096.407	0	-1096.407	0.7569646
20500	-1074.927	0	-1074.927	0.7843152
21000	-1075.592	0	-1075.592	0.7544041
21500	-1061.054	0	-1061.054	0.6620795
22000	-1010.929	0	-1010.929	0.7788473
22500	-975.3933	0	-975.3933	0.7795386
23000	-1015.859	0	-1015.859	0.6805395
23500	-1072.075	0	-1072.075	0.7248736
24000	-1021.387	0	-1021.387	0.7867143
24500	-1129.329	0	-1129.329	0.609333
25000	-1013.339	0	-1013.339	0.7039954
25500	-1101.822	0	-1101.822	0.7591649
26000	-1027.849	0	-1027.849	0.725202
26500	-1019.711	0	-1019.711	0.6834946
27000	-1048.577	0	-1048.577	0.5544057
27500	-1066.876	0	-1066.876	0.5567023
28000	-998.7576	0	-998.7576	0.7447009
28500	-990.117	0	-990.117	0.8159134
29000	-1054.344	0	-1054.344	0.6993139
29500	-1023.887	0	-1023.887	0.5703106
30000	-1076.373	0	-1076.373	0.6401086
30500	-1064.916	0	-1064.916	0.6804714
31000	-1023.95	0	-1023.95	0.6607217
31500	-1016.042	0	-1016.042	0.6834692
32000	-1016.373	0	-1016.373	0.7951351
32500	-1162.796	0	-1162.796	0.7200447
33000	-1131.47	0	-1131.47	0.7212779
33500	-1164.321	0	-1164.321	0.6834535
34000	-1081.814	0	-1081.814	0.6604965
34500	-1034.262	0	-1034.262	0.7037014
35000	-873.9935	0	-873.9935	0.7958282
35500	-886.2134	0	-886.2134	0.850424
36000	-920.7745	0	-920.7745	0.833171
36500	-986.173	0	-986.173	0.7852161
37000	-949.1191	0	-949.1191	0.8122088
37500	-957.1752	0	-957.1752	0.7072302
38000	-903.3183	0	-903.3183	0.7171172
38500	-976.9052	0	-976.9052	0.7092457
39000	-891.3597	0	-891.3597	0.7158773
39500	-835.7126	0	-835.7126	0.8406458
40000	-816.9829	0	-816.9829	0.8316441
40500	-896.1632	0	-896.1632	0.7964085
41000	-904.0288	0	-904.0288	0.7762807
41500	-838.2874	0	-838.2874	0.740753
42000	-948.7113	0	-948.7113	0.7472395
42500	-934.288	0	-934.288	0.7779623
43000	-966.5111	0	-966.5111	0.7913835
43500	-1053.589	0	-1053.589	0.7510406
44000	-1095.542	0	-1095.542	0.8101308
44500	-1020.864	0	-1020.864	0.8597272
45000	-993.9178	0	-993.9178	0.8838525
45500	-1022.196	0	-1022.196	0.8425625
46000	-1001.297	0	-1001.297	0.8958266
46500	-1037.242	0	-1037.242	0.8831254
47000	-1014.093	0	-1014.093	0.8281449
47500	-1008.664	0	-1008.664	0.7542135
48000	-956.3027	0	-956.3027	0.8045173
48500	-1026.89	0	-1026.89	0.7832933
49000	-948.1402	0	-948.1402	0.7447571
49500	-1002.882	0	-1002.882	0.5935763
50000	-1060.238	0	-1060.238	0.7324524
50500	-945.9575	0	-945.9575	0.7881174
51000	-978.5115	0	-978.5115	0.828979
51500	-1001.257	0	-1001.257	0.7670552
52000	-968.4032	0	-968.4032	0.7880845
52500	-956.7235	0	-956.7235	0.6771593
53000	-969.1329	0	-969.1329	0.6420977
53500	-986.8941	0	-986.8941	0.6797927
54000	-1049.882	0	-1049.882	0.7164659
54500	-1045.87	0	-1045.87	0.6774777
55000	-1005.443	0	-1005.443	0.6291914
55500	-1015.051	0	-1015.051	0.6625093
56000	-949.2985	0	-949.2985	0.7409868
56500	-940.8776	0	-940.8776	0.7424536
57000	-988.6546	0	-988.6546	0.7736041
57500	-1001.316	0	-1001.316	0.6808055
58000	-910.2717	0	-910.2717	0.7704687
58500	-913.3669	0	-913.3669	0.8582062
59000	-968.9513	0	-968.9513	0.8394793
59500	-1024.47	0	-1024.47	0.8399966
60000	-1028.464	0	-1028.464	0.7681178
60500	-1065.212	0	-1065.212	0.7937822
61000	-1047.61	0	-1047.61	0.8425643
61500	-1056.5	0	-1056.5	0.8151404
62000	-1005.131	0	-1005.131	0.7391879
62500	-1022.296	0	-1022.296	0.8046768
63000	-1074.539	0	-1074.539	0.6612239
63500	-1084.343	0	-1084.343	0.6314089
64000	-1045.489	0	-1045.489	0.7562399
64500	-1043.35	0	-1043.35	0.8626866
65000	-1030.347	0	-1030.347	0.8053124
65500	-1011.18	0	-1011.18	0.7874718
66000	-966.5263	0	-966.5263	0.6758779
66500	-1070.631	0	-1070.631	0.7229377
67000	-1048.789	0	-1048.789	0.8284597
67500	-1059.139	0	-1059.139	0.6096876
68000	-1101.01	0	-1101.01	0.5970925
68500	-1131.598	0	-1131.598	0.6592288
69000	-1140.189	0	-1140.189	0.5493347
69500	-1132.832	0	-1132.832	0.7742212
70000	-1110.812	0	-1110.812	0.734115
70500	-1109.45	0	-1109.45	0.6638094
71000	-1123.701	0	-1123.701	0.6388592
71500	-1097.715	0	-1097.715	0.5915364
72000	-1075.54	0	-1075.54	0.8276385
72500	-1001.833	0	-1001.833	0.9086273
73000	-1041.637	0	-1041.637	0.8503369
73500	-1041.314	0	-1041.314	0.8491435
74000	-1065.581	0	-1065.581	0.720951
74500	-1016.849	0	-1016.849	0.771461
75000	-975.6918	0	-975.6918	0.8090578
75500	-1069.259	0	-1069.259	0.7558727
76000	-1139.74	0	-1139.74	0.6234581
76500	-1127.348	0	-1127.348	0.5844986
77000	-1100.26	0	-1100.26	0.5680391
77500	-1136.644	0	-1136.644	0.5084591
78000	-1178.864	0	-1178.864	0.5793316
78500	-1132.487	0	-1132.487	0.6971533
79000	-1170.039	0	-1170.039	0.6353669
79500	-1176.702	0	-1176.702	0.7617249
80000	-1118.807	0	-1118.807	0.7780176
80500	-1081.79	0	-1081.79	0.7666083
81000	-1087.906	0	-1087.906	0.7356101
81500	-1073.824	0	-1073.824	0.7600955
82000	-1146.316	0	-1146.316	0.705594
82500	-1106.435	0	-1106.435	0.7461205
83000	-1071.092	0	-1071.092	0.7023262
83500	-1110.902	0	-1110.902	0.7350947
84000	-1214.837	0	-1214.837	0.6130535
84500	-1128.715	0	-1128.715	0.743131
85000	-1206.585	0	-1206.585	0.5981374
85500	-1176.553	0	-1176.553	0.6947524
86000	-1157.587	0	-1157.587	0.5982185
86500	-1173.006	0	-1173.006	0.5798744
87000	-1192.339	0	-1192.339	0.4893356
87500	-1149.826	0	-1149.826	0.35832
88000	-1166.407	0	-1166.407	0.4799537
88500	-1172.54	0	-1172.54	0.5890334
89000	-1200.745	0	-1200.745	0.4954782
89500	-1165.242	0	-1165.242	0.5550004
90000	-1196.752	0	-1196.752	0.569
90500	-1214.809	0	-1214.809	0.3883917
91000	-1230.982	0	-1230.982	0.485454
91500	-1161.695	0	-1161.695	0.4909829
92000	-1160.732	0	-1160.732	0.5702035
92500	-1130.909	0	-1130.909	0.6259738
93000	-1139.516	0	-1139.516	0.6541578
93500	-1194.751	0	-1194.751	0.4174269
94000	-1187.081	0	-1187.081	0.5776055
94500	-1162.32	0	-1162.32	0.7006111
95000	-1188.714	0	-1188.714	0.6814393
95500	-1155.381	0	-1155.381	0.7601904
96000	-1104.914	0	-1104.914	0.8069633
96500	-1093.671	0	-1093.671	0.8083935
97000	-1104.541	0	-1104.541	0.8166823
97500	-1123.34	0	-1123.34	0.821983
98000	-1115.16	0	-1115.16	0.7342901
98500	-1177.458	0	-1177.458	0.4717898
99000	-1225.87	0	-1225.87	0.5031309
99500	-1160.763	0	-1160.763	0.5750935
100000	-1129.39	0	-1129.39	0.6818823
100500	-1156.423	0	-1156.423	0.5873728
101000	-1169.512	0	-1169.512	0.6336686
101500	-1178.287	0	-1178.287	0.3551703
102000	-1177.778	0	-1177.778	0.4097745
102500	-1133.91	0	-1133.91	0.4469333
103000	-1103.728	0	-1103.728	0.5521154
103500	-1084.251	0	-1084.251	0.5323255
104000	-1164.378	0	-1164.378	0.5744536
104500	-1132.354	0	-1132.354	0.5408899
105000	-1172.557	0	-1172.557	0.4573188
105500	-1138.447	0	-1138.447	0.431187
106000	-1141.271	0	-1141.271	0.6092896
106500	-1246.523	0	-1246.523	0.4459316
107000	-1244.454	0	-1244.454	0.3026884
107500	-1172.504	0	-1172.504	0.3225869
108000	-1142.013	0	-1142.013	0.3884946
108500	-1149.069	0	-1149.069	0.4502641
109000	-1146.788	0	-1146.788	0.4376149
109500	-1205.178	0	-1205.178	0.4567944
110000	-1181.098	0	-1181.098	0.5558809
110500	-1155.195	0	-1155.195	0.5046516
111000	-1190.705	0	-1190.705	0.6219238
111500	-1150.685	0	-1150.685	0.6091708
112000	-1145.438	0	-1145.438	0.6697242
112500	-1127.152	0	-1127.152	0.6279731
113000	-1115.776	0	-1115.776	0.5370422
113500	-1113.416	0	-1113.416	0.705566
114000	-1123.017	0	-1123.017	0.7134185
114500	-1112.937	0	-1112.937	0.5786957
