Iteration	Posterior	Likelihood	Prior	rho[3][4]
0	-2767.094	0	-2767.094	-0.7111382
500	-1833.808	0	-1833.808	-0.3939701
1000	-1810.64	0	-1810.64	-0.2088801
1500	-1789.017	0	-1789.017	0.006662338
2000	-1738.503	0	-1738.503	0.1844422
2500	-1747.798	0	-1747.798	0.1073518
3000	-1702.748	0	-1702.748	0.2791459
3500	-1715.047	0	-1715.047	0.3131683
4000	-1743.436	0	-1743.436	0.3403344
4500	-1660.366	0	-1660.366	0.4389613
5000	-1653.002	0	-1653.002	0.4272338
5500	-1644.417	0	-1644.417	0.3177388
6000	-1671.011	0	-1671.011	0.4379365
6500	-1694.815	0	-1694.815	0.5092809
7000	-1652.267	0	-1652.267	0.5130515
7500	-1676.815	0	-1676.815	0.4625987
8000	-1657.212	0	-1657.212	0.5534813
8500	-1646.412	0	-1646.412	0.5011688
9000	-1629.817	0	-1629.817	0.4834729
9500	-1682.457	0	-1682.457	0.3907929
10000	-1585.742	0	-1585.742	0.6305753
10500	-1626.512	0	-1626.512	0.5473589
11000	-1649.935	0	-1649.935	0.6146611
11500	-1611	0	-1611	0.5102943
12000	-1647.121	0	-1647.121	0.47059
12500	-1637.222	0	-1637.222	0.5841744
13000	-1634.307	0	-1634.307	0.3785502
13500	-1710.281	0	-1710.281	0.2825721
14000	-1641.434	0	-1641.434	0.5814381
14500	-1633.002	0	-1633.002	0.4110828
15000	-1654.661	0	-1654.661	0.4335577
15500	-1672.531	0	-1672.531	0.6151553
16000	-1570.103	0	-1570.103	0.6282895
16500	-1599.341	0	-1599.341	0.5531156
17000	-1498.971	0	-1498.971	0.5846463
17500	-1543.947	0	-1543.947	0.6720953
18000	-1559.423	0	-1559.423	0.5502125
18500	-1625.698	0	-1625.698	0.6328122
19000	-1595.907	0	-1595.907	0.5959518
19500	-1597.718	0	-1597.718	0.5510912
20000	-1628.388	0	-1628.388	0.4324874
20500	-1598.409	0	-1598.409	0.4469103
21000	-1615.475	0	-1615.475	0.4683619
21500	-1600.019	0	-1600.019	0.6755678
22000	-1607.516	0	-1607.516	0.5910684
22500	-1651.162	0	-1651.162	0.391087
23000	-1562.768	0	-1562.768	0.5479613
23500	-1543.11	0	-1543.11	0.5944131
24000	-1500.023	0	-1500.023	0.5984672
24500	-1529.498	0	-1529.498	0.5642233
25000	-1528.523	0	-1528.523	0.4785544
25500	-1566.233	0	-1566.233	0.6203713
26000	-1565.615	0	-1565.615	0.6079309
26500	-1536.912	0	-1536.912	0.6642327
27000	-1596.738	0	-1596.738	0.6151546
27500	-1520.693	0	-1520.693	0.6922266
28000	-1574.362	0	-1574.362	0.5800998
28500	-1593.069	0	-1593.069	0.6221897
29000	-1568.107	0	-1568.107	0.5539023
29500	-1561.379	0	-1561.379	0.5561262
30000	-1555.988	0	-1555.988	0.4636256
30500	-1586.861	0	-1586.861	0.5243863
31000	-1541.078	0	-1541.078	0.6155528
31500	-1564.972	0	-1564.972	0.680269
32000	-1573.671	0	-1573.671	0.6135253
32500	-1578.188	0	-1578.188	0.5900505
33000	-1584.933	0	-1584.933	0.5349383
33500	-1647.742	0	-1647.742	0.5500561
34000	-1646.651	0	-1646.651	0.4396088
34500	-1615.477	0	-1615.477	0.3339321
35000	-1595.85	0	-1595.85	0.4354405
